Token,TradingSymbol,Symbol,Expiry,OptionType,StrikePrice
975302,19HWBPL25,,,,
975301,920PLUM27,,,,
975300,1135TTDT26,,,,
975299,1425TULI26,,,,
975298,965HHFL38,,,,
975297,995VT29,,,,
975296,955VT29,,,,
975295,SFLTBIL26,,,,
975294,JMFHRESE27,,,,
975293,829AFL27,,,,
975292,960HCFSL29,,,,
975291,83AFL25,,,,
975290,126MFL25,,,,
975289,845HFSLPER,,,,
975287,RSGPLMLD27,,,,
975286,970MHGIC33,,,,
975285,145LMPF29,,,,
975284,995PDL25,,,,
975283,824KMIL27,,,,
975282,10MCSL26,,,,
975281,855PNBPER,,,,
975280,13EFL29,,,,
975279,81BFL27,,,,
975278,1255NEO25,,,,
975277,1175ESP25A,,,,
975276,KPDL221223,,,,
975275,975VFPL27,,,,
975274,MCIL25A,,,,
975273,895KIIFB31,,,,
975272,895KIIFB33,,,,
975271,895KIIFB32,,,,
975270,895KIIFB30,,,,
975269,895KIIFB29,,,,
975268,895KIIFB28,,,,
975267,895KIIFB27,,,,
975266,1750WEPL28,,,,
975265,768IREDA33,,,,
975264,975MFL28,,,,
975263,840HDBFS33,,,,
975262,765NBFID38,,,,
975261,775BOB33,,,,
975260,765NABAR34,,,,
975259,923SFL27,,,,
975258,925SFL25,,,,
975257,990AUXI26A,,,,
975256,5GMRAL26A,,,,
975255,771HDFCB33,,,,
975254,DSRPLZC26,,,,
975253,880HLFL26,,,,
975252,1011SSFL25,,,,
975251,995PDL33,,,,
975250,85HFSLPER,,,,
975249,820KMPL28,,,,
975248,767IRFC33,,,,
975247,769PFCL38,,,,
975246,950FSBFL26,,,,
975245,799BOM33,,,,
975244,880STNIV29,,,,
975243,12JHL13625,,,,
975242,767REC38,,,,
975241,779REC25,,,,
975240,975VAJRA29,,,,
975239,1025NFL26,,,,
975238,767IIFCL38,,,,
975237,1150AKAR25,,,,
975236,1075MFSL29,,,,
975235,1225AFPL29,,,,
975234,774DDL38,,,,
975233,12ARPL27,,,,
975232,768BOB33,,,,
975231,940HLFL31,,,,
975230,JCL301123,,,,
975229,1420SML29,,,,
975228,907JFSL25,,,,
975227,1180KSPL25,,,,
975226,77PFCL33,,,,
975225,1250AYO27,,,,
975224,925SHFL33,,,,
975223,990AUXI26,,,,
975222,1160KFL25,,,,
975221,975DMIFP25,,,,
975220,1315MFL25,,,,
975219,771REC33A,,,,
975218,780REC26,,,,
975217,960GDL26,,,,
975216,96GDPL26,,,,
975215,1090SCN25A,,,,
975214,768IRFC26,,,,
975213,890SFL28,,,,
975212,880SFL33,,,,
975211,1075NBPL25,,,,
975210,5GMRAL26,,,,
975209,PCHFTBIL25,,,,
975208,810AFL28,,,,
975207,875JMFSL25,,,,
975206,1075ARKA29,,,,
975205,8IHFCL25,,,,
975204,1003WB25,,,,
975203,812HDB28,,,,
975202,995PDLL26,,,,
